Entity,Code,Year,"Suicide mortality rate per 100,000 population",Continent
Austria,AUT,2018,15.7,Europe
Azerbaijan,AZE,2018,4,Europe
Belarus,BLR,2018,22.8,Europe
Belgium,BEL,2018,18.7,Europe
Bosnia and Herzegovina,BIH,2018,10.8,Europe
Bulgaria,BGR,2018,9.7,Europe
Croatia,HRV,2018,16.4,Europe
Cyprus,CYP,2018,4.2,Europe
Denmark,DNK,2018,11.4,Europe
Estonia,EST,2018,15.3,Europe
Finland,FIN,2018,16.2,Europe
France,FRA,2018,14.2,Europe
Georgia,GEO,2018,9.4,Europe
Germany,DEU,2018,12.9,Europe
Greece,GRC,2018,5.1,Europe
Hungary,HUN,2018,17.7,Europe
Ireland,IRL,2018,9.9,Europe
Italy,ITA,2018,6.7,Europe
Latvia,LVA,2018,18.1,Europe
Lithuania,LTU,2018,27.4,Europe
Luxembourg,LUX,2018,10.6,Europe
Malta,MLT,2018,6,Europe
Moldova,MDA,2018,14.4,Europe
Montenegro,MNE,2018,21.2,Europe
Netherlands,NLD,2018,11.4,Europe
Norway,NOR,2018,12,Europe
Poland,POL,2018,12.7,Europe
Portugal,PRT,2018,11.7,Europe
Romania,ROU,2018,10.2,Europe
Serbia,SRB,2018,11.3,Europe
Slovakia,SVK,2018,12.2,Europe
Slovenia,SVN,2018,17.8,Europe
Spain,ESP,2018,7.8,Europe
Sweden,SWE,2018,14.9,Europe
Switzerland,CHE,2018,14.5,Europe
Ukraine,UKR,2018,21.9,Europe
United Kingdom,GBR,2018,8.1,Europe
Albania,ALB,2019,4.3,Europe
Armenia,ARM,2019,3.3,Europe
Austria,AUT,2019,14.6,Europe
Azerbaijan,AZE,2019,4.1,Europe
Belarus,BLR,2019,21.2,Europe
Belgium,BEL,2019,18.3,Europe
Bosnia and Herzegovina,BIH,2019,10.9,Europe
Bulgaria,BGR,2019,9.7,Europe
Croatia,HRV,2019,16.4,Europe
Cyprus,CYP,2019,3.6,Europe
Denmark,DNK,2019,10.7,Europe
Estonia,EST,2019,14.9,Europe
Finland,FIN,2019,15.3,Europe
France,FRA,2019,13.8,Europe
